
2024/11/28 (01:29:27) | ===> btop++ v.1.4.0
2024/11/28 (01:29:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (01:40:15) | ===> btop++ v.1.4.0
2024/11/28 (01:40:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (02:04:01) | ===> btop++ v.1.4.0
2024/11/28 (02:04:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (02:08:09) | ===> btop++ v.1.4.0
2024/11/28 (02:08:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (02:09:11) | ===> btop++ v.1.4.0
2024/11/28 (02:09:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (19:05:23) | ===> btop++ v.1.4.0
2024/11/29 (19:05:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (19:05:55) | ===> btop++ v.1.4.0
2024/11/29 (19:05:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (19:16:32) | ===> btop++ v.1.4.0
2024/11/29 (19:16:32) | WARNING: Intel GPU: Failed to initialize PMU
